DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;142;1421991,10
202309;2;AC;10045;BRADESCO;17;94097,52
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;82;247430,66
202309;2;AC;51884;INTER;4;12306,86
202309;2;AC;10069;ITAU;148;327784,69
202309;2;AC;30379;SANTANDER;232;1025040,23
202309;2;AC;51011;VOTORANTIM;17;64294,81
202309;2;AL;49906;BB;366;1915287,58
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;106;504918,94
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;313;693114,53
202309;2;AL;51884;INTER;34;131191,36
202309;2;AL;10069;ITAU;1374;2988789,99
202309;2;AL;30379;SANTANDER;1260;4877628,90
202309;2;AL;51011;VOTORANTIM;47;148416,15
202309;2;AM;49906;BB;314;2570440,44
202309;2;AM;10045;BRADESCO;369;2476907,16
202309;2;AM;49944;BTG PACTUAL;21;153686,00
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;219;437871,38
202309;2;AM;51884;INTER;23;75962,24
202309;2;AM;10069;ITAU;1314;3176353,70
202309;2;AM;30379;SANTANDER;2044;8604597,83
202309;2;AM;51011;VOTORANTIM;64;614949,27
202309;2;AP;49906;BB;225;2115839,66
202309;2;AP;10045;BRADESCO;19;188133,01
202309;2;AP;49944;BTG PACTUAL;6;34749,99
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;64;148091,84
202309;2;AP;51884;INTER;14;48998,53
202309;2;AP;10069;ITAU;203;482458,20
202309;2;AP;30379;SANTANDER;410;1470881,45
202309;2;AP;51011;VOTORANTIM;11;59548,56
202309;2;BA;49906;BB;1547;11421225,79
202309;2;BA;10045;BRADESCO;692;3738212,77
202309;2;BA;49944;BTG PACTUAL;76;357937,08
202309;2;BA;51626;CAIXA ECONÔMICA FEDERAL;1208;2083084,51
202309;2;BA;51884;INTER;130;567306,81
202309;2;BA;10069;ITAU;6854;15261993,53
202309;2;BA;30379;SANTANDER;8194;29534058,13
202309;2;BA;51011;VOTORANTIM;191;1266416,90
202309;2;CE;49906;BB;975;7036735,56
202309;2;CE;10045;BRADESCO;431;3002324,57
202309;2;CE;49944;BTG PACTUAL;41;175565,65
202309;2;CE;51626;CAIXA ECONÔMICA FEDERAL;710;1276660,21
202309;2;CE;51884;INTER;75;369950,98
202309;2;CE;10069;ITAU;4031;8993950,05
202309;2;CE;30379;SANTANDER;4275;17114621,43
202309;2;CE;51011;VOTORANTIM;158;793590,44
202309;2;DF;49906;BB;402;4293664,24
202309;2;DF;10045;BRADESCO;165;896312,20
202309;2;DF;49944;BTG PACTUAL;36;224265,34
202309;2;DF;51626;CAIXA ECONÔMICA FEDERAL;438;1022097,39
202309;2;DF;51884;INTER;57;353891,91
202309;2;DF;10069;ITAU;2245;6201974,21
202309;2;DF;30379;SANTANDER;2527;14338627,35
202309;2;DF;51011;VOTORANTIM;75;442155,81
202309;2;ES;49906;BB;290;1963787,17
202309;2;ES;10045;BRADESCO;153;1077535,70
202309;2;ES;49944;BTG PACTUAL;15;42593,50
202309;2;ES;51626;CAIXA ECONÔMICA FEDERAL;362;704697,34
202309;2;ES;51884;INTER;55;243459,04
202309;2;ES;10069;ITAU;1500;3533464,29
202309;2;ES;30379;SANTANDER;2054;8620133,12
202309;2;ES;51011;VOTORANTIM;94;562177,05
202309;2;GO;49906;BB;651;4504903,25
202309;2;GO;10045;BRADESCO;325;2090434,13
202309;2;GO;49944;BTG PACTUAL;41;232025,64
202309;2;GO;51626;CAIXA ECONÔMICA FEDERAL;1057;2107102,50
202309;2;GO;51884;INTER;72;333980,08
202309;2;GO;10069;ITAU;3947;9514032,93
202309;2;GO;30379;SANTANDER;3695;15471487,28
202309;2;GO;51011;VOTORANTIM;169;1140167,26
202309;2;MA;49906;BB;1095;7656603,96
202309;2;MA;10045;BRADESCO;244;1225995,91
202309;2;MA;49944;BTG PACTUAL;25;215612,95
202309;2;MA;51626;CAIXA ECONÔMICA FEDERAL;332;548841,04
202309;2;MA;51884;INTER;28;122828,61
202309;2;MA;10069;ITAU;1435;3128810,90
202309;2;MA;30379;SANTANDER;1938;7462743,90
202309;2;MA;51011;VOTORANTIM;79;690008,96
202309;2;MG;49906;BB;1790;15773677,22
202309;2;MG;10045;BRADESCO;789;4458719,46
202309;2;MG;49944;BTG PACTUAL;107;679022,67
202309;2;MG;51626;CAIXA ECONÔMICA FEDERAL;1922;3212875,89
202309;2;MG;51884;INTER;337;1385988,33
202309;2;MG;10069;ITAU;11058;25718594,46
202309;2;MG;30379;SANTANDER;11064;47265965,08
202309;2;MG;51011;VOTORANTIM;550;2955191,21
202309;2;MS;49906;BB;480;3620785,45
202309;2;MS;10045;BRADESCO;252;1919594,43
202309;2;MS;49944;BTG PACTUAL;16;105489,09
202309;2;MS;51626;CAIXA ECONÔMICA FEDERAL;301;528809,60
202309;2;MS;51884;INTER;21;145094,22
202309;2;MS;10069;ITAU;996;2474581,20
202309;2;MS;30379;SANTANDER;1796;8284269,00
202309;2;MS;51011;VOTORANTIM;150;1064035,44
202309;2;MT;49906;BB;533;4248889,03
202309;2;MT;10045;BRADESCO;198;1438372,77
202309;2;MT;49944;BTG PACTUAL;16;150234,67
202309;2;MT;51626;CAIXA ECONÔMICA FEDERAL;320;598087,41
202309;2;MT;51884;INTER;39;229059,22
202309;2;MT;10069;ITAU;1065;2637745,18
202309;2;MT;30379;SANTANDER;1517;8007886,41
202309;2;MT;51011;VOTORANTIM;117;841051,37
202309;2;PA;49906;BB;861;5846303,87
202309;2;PA;10045;BRADESCO;353;2274366,28
202309;2;PA;49944;BTG PACTUAL;38;331040,03
202309;2;PA;51626;CAIXA ECONÔMICA FEDERAL;541;886020,23
202309;2;PA;51884;INTER;53;165107,94
202309;2;PA;10069;ITAU;2236;4969323,52
202309;2;PA;30379;SANTANDER;2894;10766375,96
202309;2;PA;51011;VOTORANTIM;104;948571,14
202309;2;PB;49906;BB;498;3257173,64
202309;2;PB;10045;BRADESCO;189;942853,87
202309;2;PB;49944;BTG PACTUAL;27;64130,27
202309;2;PB;51626;CAIXA ECONÔMICA FEDERAL;309;575638,60
202309;2;PB;51884;INTER;32;103839,54
202309;2;PB;10069;ITAU;2104;5205231,51
202309;2;PB;30379;SANTANDER;1991;7823612,17
202309;2;PB;51011;VOTORANTIM;96;548855,69
202309;2;PE;49906;BB;784;4860974,76
202309;2;PE;10045;BRADESCO;482;3335181,89
202309;2;PE;49944;BTG PACTUAL;65;260209,44
202309;2;PE;51626;CAIXA ECONÔMICA FEDERAL;625;956232,00
202309;2;PE;51884;INTER;79;360937,79
202309;2;PE;10069;ITAU;5324;12155692,29
202309;2;PE;30379;SANTANDER;5609;23321350,05
202309;2;PE;51011;VOTORANTIM;133;744659,89
202309;2;PI;49906;BB;631;4131441,93
202309;2;PI;10045;BRADESCO;96;449874,97
202309;2;PI;49944;BTG PACTUAL;25;59721,69
202309;2;PI;51626;CAIXA ECONÔMICA FEDERAL;362;685346,60
202309;2;PI;51884;INTER;26;98649,74
202309;2;PI;10069;ITAU;1011;2004770,81
202309;2;PI;30379;SANTANDER;1086;4333180,75
202309;2;PI;51011;VOTORANTIM;55;330660,19
202309;2;PR;49906;BB;746;5302897,23
202309;2;PR;10045;BRADESCO;613;3723346,52
202309;2;PR;49944;BTG PACTUAL;79;662399,82
202309;2;PR;51626;CAIXA ECONÔMICA FEDERAL;1800;3980794,24
202309;2;PR;51884;INTER;105;482557,08
202309;2;PR;10069;ITAU;6872;18317374,47
202309;2;PR;30379;SANTANDER;6827;30130222,41
202309;2;PR;51011;VOTORANTIM;470;3108823,08
202309;2;RJ;49906;BB;1011;7943035,46
202309;2;RJ;13009717;BCO DO EST. DE SE S.A.;1;6162,61
202309;2;RJ;10045;BRADESCO;1403;9479765,24
202309;2;RJ;49944;BTG PACTUAL;148;894631,56
202309;2;RJ;51626;CAIXA ECONÔMICA FEDERAL;1446;2612153,72
202309;2;RJ;51884;INTER;157;829127,13
202309;2;RJ;10069;ITAU;18255;43108490,38
202309;2;RJ;30379;SANTANDER;19837;89826566,87
202309;2;RJ;51011;VOTORANTIM;525;3523818,03
202309;2;RN;49906;BB;602;4599890,02
202309;2;RN;10045;BRADESCO;112;592265,74
202309;2;RN;49944;BTG PACTUAL;14;60528,93
202309;2;RN;51626;CAIXA ECONÔMICA FEDERAL;288;633049,22
202309;2;RN;51884;INTER;44;163417,38
202309;2;RN;10069;ITAU;1735;3814295,99
202309;2;RN;30379;SANTANDER;1764;7344517,43
202309;2;RN;51011;VOTORANTIM;90;441534,50
202309;2;RO;49906;BB;253;3005176,21
202309;2;RO;10045;BRADESCO;54;307511,97
202309;2;RO;49944;BTG PACTUAL;9;25349,27
202309;2;RO;51626;CAIXA ECONÔMICA FEDERAL;195;364995,24
202309;2;RO;51884;INTER;16;83554,36
202309;2;RO;10069;ITAU;342;880191,37
202309;2;RO;30379;SANTANDER;550;2853669,35
202309;2;RO;51011;VOTORANTIM;43;365271,17
202309;2;RR;49906;BB;136;1144900,35
202309;2;RR;10045;BRADESCO;15;128990,25
202309;2;RR;49944;BTG PACTUAL;4;13661,74
202309;2;RR;51626;CAIXA ECONÔMICA FEDERAL;56;147379,20
202309;2;RR;51884;INTER;5;44723,51
202309;2;RR;10069;ITAU;223;444332,33
202309;2;RR;30379;SANTANDER;309;822424,59
202309;2;RR;51011;VOTORANTIM;12;102659,76
202309;2;RS;49906;BB;693;4573961,84
202309;2;RS;10045;BRADESCO;283;1730630,20
202309;2;RS;49944;BTG PACTUAL;76;488761,39
202309;2;RS;51626;CAIXA ECONÔMICA FEDERAL;1746;3873009,44
202309;2;RS;51884;INTER;72;350049,84
202309;2;RS;10069;ITAU;4505;10077748,65
202309;2;RS;30379;SANTANDER;6274;25232073,25
202309;2;RS;51011;VOTORANTIM;313;1914804,19
202309;2;SC;49906;BB;688;5316047,77
202309;2;SC;10045;BRADESCO;287;2200841,89
202309;2;SC;49944;BTG PACTUAL;52;528870,38
202309;2;SC;51626;CAIXA ECONÔMICA FEDERAL;1108;2603545,03
202309;2;SC;51884;INTER;53;202429,74
202309;2;SC;10069;ITAU;3170;7979399,57
202309;2;SC;30379;SANTANDER;3411;15424356,44
202309;2;SC;51011;VOTORANTIM;351;2633172,78
202309;2;SE;49906;BB;236;1376166,54
202309;2;SE;13009717;BCO DO EST. DE SE S.A.;104;578089,76
202309;2;SE;10045;BRADESCO;56;219046,04
202309;2;SE;49944;BTG PACTUAL;9;34133,79
