UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,MES,TIPO_DESENROLA,NUMERO_OPERACOES,VOLUME_OPERACOES,CLUSTER,BIMESTRE,TICKET_MEDIO
AC,BANCO SICOOB,2023-10,1,1,434.02,0,2023-B5,434.02
AC,BB,2023-10,1,58,34550.72,0,2023-B5,595.7020689655172
AC,BB,2023-10,2,42,532481.79,0,2023-B5,12678.137857142858
AC,BCO TRIANGULO S.A.,2023-10,2,36,51858.64,0,2023-B5,1440.5177777777778
AC,BMG,2023-10,1,39,30441.56,0,2023-B5,780.5528205128205
AC,BRADESCO,2023-10,1,24,12782.17,0,2023-B5,532.5904166666667
AC,BRADESCO,2023-10,2,9,31475.33,0,2023-B5,3497.258888888889
AC,BTG PACTUAL,2023-10,1,69,53683.91,0,2023-B5,778.0276811594204
AC,C6 BANK,2023-10,1,7,3372.69,0,2023-B5,481.8128571428571
AC,CAIXA ECONÔMICA FEDERAL,2023-10,1,57,41330.88,0,2023-B5,725.1031578947368
AC,CAIXA ECONÔMICA FEDERAL,2023-10,2,23,48550.07,0,2023-B5,2110.872608695652
AC,INTER,2023-10,1,174,126006.34,0,2023-B5,724.174367816092
AC,ITAU,2023-10,1,21,16203.59,0,2023-B5,771.5995238095238
AC,ITAU,2023-10,2,19,77770.12,0,2023-B5,4093.1642105263154
AC,NUBANK,2023-10,1,376,234921.18,0,2023-B5,624.7903723404255
AC,SANTANDER,2023-10,1,40,25853.03,0,2023-B5,646.32575
AC,SANTANDER,2023-10,2,34,169757.21,0,2023-B5,4992.859117647058
AC,SICOOB CREDISUL,2023-10,1,2,3118.9,0,2023-B5,1559.45
AC,VOTORANTIM,2023-10,1,3,2978.62,0,2023-B5,992.8733333333333
AC,VOTORANTIM,2023-10,2,7,63198.53,0,2023-B5,9028.361428571428
AL,BANCO SICOOB,2023-10,1,2,2103.8,0,2023-B5,1051.9
AL,BB,2023-10,1,116,65633.94,0,2023-B5,565.8098275862069
AL,BB,2023-10,2,96,424289.92,0,2023-B5,4419.6866666666665
AL,BCO TRIANGULO S.A.,2023-10,2,39,46406.45,0,2023-B5,1189.9089743589743
AL,BMG,2023-10,1,167,139118.38,0,2023-B5,833.0441916167665
AL,BRADESCO,2023-10,1,124,90833.95,0,2023-B5,732.5318548387097
AL,BRADESCO,2023-10,2,41,342452.33,0,2023-B5,8352.495853658536
AL,BTG PACTUAL,2023-10,1,309,228539.52,0,2023-B5,739.6100970873786
AL,BTG PACTUAL,2023-10,2,5,17558.75,0,2023-B5,3511.75
AL,C6 BANK,2023-10,1,36,18184.08,0,2023-B5,505.1133333333334
AL,CAIXA ECONÔMICA FEDERAL,2023-10,1,190,110549.28,0,2023-B5,581.8383157894737
AL,CAIXA ECONÔMICA FEDERAL,2023-10,2,92,130971.85,0,2023-B5,1423.6070652173914
AL,INTER,2023-10,1,732,543165.28,0,2023-B5,742.0290710382515
AL,INTER,2023-10,2,9,56692.95,0,2023-B5,6299.216666666666
AL,ITAU,2023-10,1,157,109738.7,0,2023-B5,698.9726114649682
AL,ITAU,2023-10,2,208,704468.09,0,2023-B5,3386.865817307692
AL,NUBANK,2023-10,1,973,608595.61,0,2023-B5,625.4836690647481
AL,SANTANDER,2023-10,1,117,82750.51,0,2023-B5,707.2693162393161
AL,SANTANDER,2023-10,2,198,892115.01,0,2023-B5,4505.631363636364
AL,VOTORANTIM,2023-10,1,11,11360.3,0,2023-B5,1032.7545454545455
AL,VOTORANTIM,2023-10,2,21,112384.65,0,2023-B5,5351.65
AM,BANCO SICOOB,2023-10,1,1,410.28,0,2023-B5,410.28
AM,BB,2023-10,1,75,39346.04,0,2023-B5,524.6138666666667
AM,BB,2023-10,2,77,588493.67,0,2023-B5,7642.774935064936
AM,BCO TRIANGULO S.A.,2023-10,2,77,92398.61,0,2023-B5,1199.9819480519482
AM,BMG,2023-10,1,200,200870.94,0,2023-B5,1004.3547
AM,BRADESCO,2023-10,1,420,304940.58,0,2023-B5,726.0490000000001
AM,BRADESCO,2023-10,2,229,2694447.67,0,2023-B5,11766.147030567685
AM,BTG PACTUAL,2023-10,1,438,343284.01,0,2023-B5,783.7534474885845
AM,BTG PACTUAL,2023-10,2,10,40860.82,0,2023-B5,4086.082
AM,C6 BANK,2023-10,1,49,41053.9,0,2023-B5,837.8346938775511
AM,CAIXA ECONÔMICA FEDERAL,2023-10,1,216,161086.88,0,2023-B5,745.7725925925926
AM,CAIXA ECONÔMICA FEDERAL,2023-10,2,50,68586.57,0,2023-B5,1371.7314000000001
AM,CCLA DO CENTRO SUL RONDONIENSE,2023-10,1,1,1229.59,0,2023-B5,1229.59
AM,INTER,2023-10,1,953,766999.35,0,2023-B5,804.8261804826863
AM,INTER,2023-10,2,12,76205.13,0,2023-B5,6350.427500000001
AM,ITAU,2023-10,1,278,210883.41,0,2023-B5,758.5734172661871
AM,ITAU,2023-10,2,206,559474.71,0,2023-B5,2715.8966504854366
AM,NUBANK,2023-10,1,1675,1144080.43,0,2023-B5,683.0330925373135
AM,SANTANDER,2023-10,1,253,171078.7,0,2023-B5,676.2003952569171
AM,SANTANDER,2023-10,2,282,1385751.87,0,2023-B5,4914.013723404256
AM,SICOOB AMAZÔNIA,2023-10,1,1,242.13,0,2023-B5,242.13
AM,VOTORANTIM,2023-10,1,12,6225.29,0,2023-B5,518.7741666666667
AM,VOTORANTIM,2023-10,2,21,168309.67,0,2023-B5,8014.746190476191
AP,BB,2023-10,1,39,19722.71,0,2023-B5,505.7105128205128
AP,BB,2023-10,2,63,431242.01,0,2023-B5,6845.11126984127
AP,BCO TRIANGULO S.A.,2023-10,2,9,12697.26,0,2023-B5,1410.8066666666666
AP,BMG,2023-10,1,31,27290.25,0,2023-B5,880.3306451612904
AP,BRADESCO,2023-10,1,26,20287.37,0,2023-B5,780.2834615384616
AP,BRADESCO,2023-10,2,17,150498.73,0,2023-B5,8852.866470588237
AP,BTG PACTUAL,2023-10,1,62,49675.97,0,2023-B5,801.2253225806452
AP,BTG PACTUAL,2023-10,2,2,5192.7,0,2023-B5,2596.35
AP,C6 BANK,2023-10,1,14,7507.43,0,2023-B5,536.245
AP,CAIXA ECONÔMICA FEDERAL,2023-10,1,21,11829.33,0,2023-B5,563.3014285714286
AP,CAIXA ECONÔMICA FEDERAL,2023-10,2,10,7750.73,0,2023-B5,775.073
AP,INTER,2023-10,1,125,87398.93,0,2023-B5,699.19144
AP,INTER,2023-10,2,1,2109.36,0,2023-B5,2109.36
AP,ITAU,2023-10,1,30,18269.23,0,2023-B5,608.9743333333333
AP,ITAU,2023-10,2,27,76714.91,0,2023-B5,2841.292962962963
